smiles,polymer_type,molecular_weight,glass_transition_c,melting_temp_c,tensile_strength_mpa,elongation_pct,density_g_cm3,youngs_modulus_gpa
*CC*,PE-LD,200000,-110,115,12,500,0.92,0.3
*CC*,PE-HD,500000,-110,135,28,800,0.95,1.0
*CC*,PE-UHMW,5000000,-110,138,35,350,0.94,1.1
*C(C)C*,PP,300000,-10,165,35,400,0.91,1.5
*CC(=O)O*,PVA,100000,70,230,50,200,1.29,2.0
*CC(=O)OC*,PMMA,120000,105,0,65,5,1.18,3.0
*CClCCl*,PVC-rigid,80000,80,180,55,60,1.4,3.2
*CClCCl*,PVC-flex,80000,0,0,18,350,1.3,0.5
*C(Cc1ccccc1)*,PS,250000,100,0,45,3,1.05,3.2
*OCCOCC(=O)C*,PET,30000,75,255,55,100,1.38,2.8
*OCCOCC(=O)C*,PET-bottle,30000,75,250,60,50,1.4,3.5
*OC(CO)COCC(=O)C*,PC,28000,145,0,65,110,1.2,2.4
*OCC(=O)OCC(=O)CO*,PLA,100000,60,180,60,8,1.24,3.5
*OC(C)C(=O)O*,PLA-PLLA,100000,65,180,70,5,1.25,3.7
*OCC(=O)OC*,PGA,50000,38,228,80,20,1.53,6.5
*OC(CH3)C(=O)O*,PCL,50000,-65,60,25,700,1.14,0.4
*OCCOCC(=O)C*,PBT,35000,45,225,50,80,1.31,2.5
*OC(C)C(=O)O*,PHB,100000,5,175,40,5,1.25,3.5
*OC(C)C(=O)O*,PHBV,100000,0,145,30,15,1.23,1.5
*CC(C)C(C)*,PIB,200000,-70,0,2,800,0.92,0.05
*OCC(=O)NH*,Nylon-6,25000,50,220,75,200,1.13,2.0
*OCC(=O)NH*,Nylon-66,30000,55,265,80,100,1.14,2.5
*OCC(=O)NH*,Nylon-12,30000,42,178,50,300,1.02,1.5
*OCC(=O)NH*,Nylon-612,30000,46,215,55,250,1.07,1.8
*Cc1ccccc1*,PET-amorph,30000,75,0,55,200,1.33,2.0
*CC(=O)Cc1ccccc1*,PEEK,40000,145,343,100,50,1.3,3.6
*OC(C)Cc1ccccc1*,PES,35000,225,0,85,60,1.37,2.6
*OC(C)C(=O)c1ccccc1*,PEI,30000,215,0,105,60,1.27,3.0
*Cc1ccc(cc1)C*,PPS,35000,90,285,70,5,1.34,3.5
*CC(=O)C=C*,PI-Kapton,50000,360,0,170,70,1.42,2.5
*OC(C)C(=O)NC*,TPU,100000,-50,0,35,500,1.2,0.05
*CC(=O)NC*,PU-foam,50000,-40,0,0.2,100,0.04,0.001
*C=C*,BR,200000,-95,0,18,500,0.94,1.5
*CC(=C)CC*,IR,200000,-70,0,25,800,0.92,1.5
*CClC=CCl*,CR,150000,-45,0,20,400,1.23,1.5
*CC(=O)C(C)=C*,SBR,200000,-50,0,22,500,0.94,2.0
*C(F)(F)C(F)(F)*,PTFE,500000,-110,327,25,350,2.2,0.5
*C(F)(F)C(F)(F)*,FEP,200000,-110,260,22,300,2.15,0.5
*C(Cl)(F)C(Cl)(F)*,PCTFE,200000,45,210,38,150,2.13,1.5
*C(F)(F)C(OC(F)(F)F)*,ETFE,200000,-120,270,45,400,1.7,1.5
*CC(=O)O*,PVAc,100000,30,0,35,10,1.19,0.6
*CCl*,PVDC,100000,-18,195,40,60,1.78,1.3
*CC(F)(F)*,PVDF,200000,-40,170,50,50,1.78,2.0
*C(F)(F)C(F)(F)*,ECTFE,150000,-120,240,50,250,1.68,1.7
*OCCOCC(=O)C*,PETG,30000,80,0,30,100,1.27,1.6
*OC(C)C(=O)O*,PLA-blend,100000,55,165,50,20,1.24,2.8
*OC(C)C(=O)O*,PGA-blend,50000,50,220,60,15,1.4,4.5
*CC(=O)C=C*,PMA,100000,10,0,10,600,1.18,0.3
*CC(=O)OC*,PBA,100000,-50,0,5,800,1.08,0.2
*CC(=O)OCCOCC(=O)C*,PBS,50000,-32,115,35,300,1.26,0.5
*CC(=O)OCC*,PVB,70000,70,0,25,100,1.11,0.5
*OC(COCC(=O)C)C*,Epoxy,5000,150,0,75,5,1.2,3.0
*OC(COCC(=O)C)C*,Epoxy-tough,5000,130,0,55,12,1.18,2.5
*OC(COCC(=O)C)C*,Phenolic,5000,180,0,45,1,1.32,4.5
*Cc1ccccc1Cc1ccccc1*,Polyester-UP,5000,90,0,50,2,1.22,3.2
*CC(=O)NCC*,Polyimide,30000,280,0,110,5,1.42,2.8
*OCC(=O)NC*,Polyamideimide,25000,275,0,95,8,1.4,2.8
*OC(C)C(=O)O*,Polyethersulfone,35000,220,0,80,60,1.37,2.6
*OC(C)C(=O)O*,Polysulfone,30000,190,0,70,80,1.24,2.5
*OCCOCC(=O)C*,Liquid-crystal,30000,110,280,200,4,1.4,9.0
*CC(=O)OC*,Acrylic-cast,120000,105,0,70,4,1.19,3.2
*CC(=O)OC*,Acrylic-extruded,120000,105,0,65,6,1.19,3.0
*OC(C)C(=O)O*,LCP-Vectra,30000,110,280,200,4,1.4,9.0
*CC(=O)O*,EVA-15,80000,-25,85,18,700,0.95,0.05
*CC(=O)O*,EVA-28,80000,-45,65,22,800,0.95,0.04
*CC(=O)O*,Ionomer,80000,50,95,25,400,0.94,0.3
*C(C)C(C)C(C)*,Syndiotactic-PP,200000,-5,165,35,100,0.9,1.3
*OCC(=O)O*,Biodegradable,50000,45,145,30,200,1.22,1.2
*OC(C)C(=O)O*,Stereo-PLA,100000,60,180,60,8,1.24,3.5
*OC(C)C(=O)O*,Racemic-PLA,100000,55,0,35,5,1.25,2.0
*OC(C)C(=O)O*,TMC-PLA,100000,45,145,30,200,1.2,1.0
*OCC(=O)NC*,Biobased-PA,30000,60,220,70,200,1.13,2.0
*OC(C)C(=O)O*,Bio-PE,200000,-110,130,25,600,0.95,0.9
*OC(C)C(=O)O*,Bio-PET,30000,75,250,55,100,1.38,2.8
*OC(C)C(=O)O*,Bio-PTT,30000,55,228,50,150,1.33,2.5
*OC(C)C(=O)O*,Bio-PA56,30000,55,220,65,200,1.14,1.9
*OCCOCC(=O)C*,Recycled-PET,30000,75,250,50,80,1.38,2.5
*C(C)C(C)C(C)*,Recycled-PP,200000,-10,165,28,300,0.91,1.3
*CClCCl*,Recycled-PVC,80000,80,180,50,50,1.4,3.0
*C(Cc1ccccc1)*,Recycled-PS,200000,100,0,35,3,1.05,2.8
*OCC(=O)NC*,Aramid-Kevlar,30000,375,0,3600,3,1.44,130
*OCC(=O)NC*,Aramid-Nomex,30000,275,0,380,25,1.38,12
*OCC(=O)NC*,Aramid-Twaron,30000,350,0,3200,3,1.45,120
*OCC(=O)NC*,Aramid-Technora,30000,290,0,2800,5,1.39,70
*OCC(=O)NC*,PE-Dyneema,5000000,-110,145,3200,4,0.97,110
*OCC(=O)NC*,PE-Spectra,5000000,-110,145,3000,4,0.97,100
*OCC(=O)NC*,Carbon-fiber-T300,0,0,0,3530,1.5,1.76,230
*OCC(=O)NC*,Carbon-fiber-T700,0,0,0,4900,1.8,1.8,240
*OCC(=O)NC*,Carbon-fiber-T800,0,0,0,5880,1.9,1.81,295
*OCC(=O)NC*,Carbon-fiber-M60J,0,0,0,3920,0.7,1.93,588
